Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1558299600.0 136.733 NA 155 79 0 NA NA 1064 935 0 NA NA 3957 870 1038 NA NA 4370 1263 1440 NA
1558299600.0 136.7611 NA 167 0 NA NA NA 1084 0 NA NA NA 9888 466 NA NA NA 10551 732 NA NA
1558299600.0 136.7721 NA 156 0 NA NA NA 1079 0 NA NA NA 8970 489 NA NA NA 9599 583 NA NA
1558299600.0 136.7801 NA 113 0 NA NA NA 1012 0 NA NA NA 1448 958 NA NA NA 1784 1398 NA NA
1558299600.0 136.7802 NA 77 0 NA NA NA 977 0 NA NA NA 662 373 NA NA NA 888 447 NA NA
1558299600.0 136.7803 NA 107 0 NA NA NA 1013 0 NA NA NA 1730 728 NA NA NA 2738 889 NA NA
1558299600.0 136.7952 NA 150 0 NA NA NA 1074 0 NA NA NA 11179 458 NA NA NA 11960 571 NA NA
1558299600.0 2017.8 109 NA NA NA NA 976 NA NA NA NA 1288 NA NA NA NA 1758 NA NA NA NA
1558299600.0 2018.8 108 NA NA NA NA 976 NA NA NA NA 1302 NA NA NA NA 1875 NA NA NA NA
1558299600.0 250199.0 152 NA NA NA NA 1063 NA NA NA NA 9735 NA NA NA NA 10275 NA NA NA NA
1558299600.0 250199.17 170 NA NA NA NA 1079 NA NA NA NA 11329 NA NA NA NA 11870 NA NA NA NA
1558299600.0 250399.0 116 NA NA NA NA 1022 NA NA NA NA 3387 NA NA NA NA 3952 NA NA NA NA
1558299600.0 250399.17 135 NA NA NA NA 1044 NA NA NA NA 4652 NA NA NA NA 5387 NA NA NA NA
1558299600.0 250399.18 133 NA NA NA NA 1045 NA NA NA NA 5000 NA NA NA NA 5531 NA NA NA NA
1558299600.0 250408.0 245 0 129 NA NA 1172 0 1013 NA NA 5515 890 2394 NA NA 6669 1031 2960 NA NA
1558299600.0 4.22 NA 143 76 70 0 NA 1045 933 972 0 NA 3227 758 906 872 NA 3867 1230 1224 1098
1558299600.0 4007.0 50 0 0 NA NA 919 0 0 NA NA 1084 367 5489 NA NA 1225 520 6925 NA NA
1558299600.0 4008.0 50 0 0 NA NA 919 0 0 NA NA 1123 337 5435 NA NA 1345 493 6805 NA NA
1558299600.0 500199.0 127 NA NA NA NA 1035 NA NA NA NA 6303 NA NA NA NA 6792 NA NA NA NA
1558299600.0 503.0 41 0 NA NA NA 898 0 NA NA NA 682 424 NA NA NA 886 641 NA NA NA
1558299600.0 504.0 41 0 NA NA NA 898 0 NA NA NA 443 321 NA NA NA 494 380 NA NA NA
1558299600.0 505.0 42 0 NA NA NA 898 0 NA NA NA 391 383 NA NA NA 547 522 NA NA NA
1558299600.0 506.0 40 0 NA NA NA 898 0 NA NA NA 395 357 NA NA NA 566 411 NA NA NA
1558299600.0 507.0 40 0 NA NA NA 898 0 NA NA NA 507 392 NA NA NA 554 452 NA NA NA
1558299600.0 508.0 43 0 NA NA NA 898 0 NA NA NA 382 356 NA NA NA 425 412 NA NA NA
1558299600.0 509.0 48 0 NA NA NA 897 0 NA NA NA 336 350 NA NA NA 379 393 NA NA NA
1558299600.0 510.0 40 0 NA NA NA 898 0 NA NA NA 1039 450 NA NA NA 1721 700 NA NA NA
1558299600.0 531.0 52 0 NA NA NA 1008 0 NA NA NA 350 347 NA NA NA 464 400 NA NA NA
1558299600.0 541.0 50 0 NA NA NA 909 0 NA NA NA 511 332 NA NA NA 565 460 NA NA NA
1558299600.0 545.0 58 0 NA NA NA 908 0 NA NA NA 500 363 NA NA NA 640 425 NA NA NA
1558299600.0 560.0 41 0 NA NA NA 898 0 NA NA NA 502 375 NA NA NA 803 573 NA NA NA
1558299600.0 561.0 40 0 NA NA NA 898 0 NA NA NA 446 371 NA NA NA 487 506 NA NA NA
1558299600.0 7.0 57 90 132 59 0 922 946 993 919 0 1629 729 1593 594 907 1987 985 2003 862 1163
1558299600.0 7.1 56 87 134 59 0 922 947 993 919 0 3320 704 1548 595 890 4136 1040 2273 788 1160
1558299600.0 7.21 58 114 176 65 0 922 976 1044 921 0 1846 989 2172 636 1466 2978 1598 2821 788 1664
1558299600.0 7.22 57 94 156 64 0 922 955 1017 920 0 1686 775 1782 601 992 1959 1013 2673 766 1391
1558299600.0 7.23 57 118 184 53 0 919 977 1047 910 0 1716 1268 2300 453 1584 2029 1497 2772 563 1902
1558299600.0 8.0 NA 91 132 57 0 NA 992 995 908 0 NA 4573 2056 416 777 NA 5128 2757 663 1048
1558299600.0 8.2 55 116 180 57 0 916 979 1046 908 0 1551 1634 2243 427 1578 2617 2076 2775 648 1838
